state,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
CONNECTICUT,2862137.0,111569.0,27784.0,74861.0,10778.0,25952.0,2757.0,14340.0,8855.0,134.0,113.0,19.0,2.0,10.0,9.0,1.0,248.0,1440.0,433.0,60.0,47.0,767.0,15.0,118.0,159.0,3.0,5699.0,1354.0,14389.0,213.0,164.0,8551.0,2595.0,2144.0,941.0,11.0,657.0,2105.0,98.0,36897.0,68.0,79.0,9592.0,4352.0,20.0,11328.0,2730.0,8728.0,7279.0,1688.0,1278.0,85.0,8058.0,6060.0,1998.0,16.0,2.0,2.0,12.0,0.0,208.0,39.0,29.0,10.0,0.0,2372.0
DISTRICT OF COLUMBIA,0.0,2535.0,1062.0,1065.0,408.0,994.0,129.0,761.0,104.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,3.0,0.0,1.0,58.0,0.0,0.0,2.0,0.0,1.0,4.0,428.0,0.0,0.0,9.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,412.0,14.0,118.0,0.0,11.0,2.0,45.0,26.0,196.0,29.0,165.0,15.0,1.0,330.0,305.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
MAINE,466254.0,27770.0,8205.0,16445.0,3120.0,7473.0,479.0,4490.0,2504.0,20.0,13.0,4.0,3.0,3.0,3.0,0.0,19.0,690.0,320.0,28.0,4.0,287.0,5.0,46.0,168.0,2.0,1158.0,321.0,4055.0,97.0,39.0,2471.0,1198.0,514.0,409.0,12.0,152.0,170.0,16.0,7478.0,4.0,7.0,1331.0,709.0,2.0,990.0,209.0,4226.0,494.0,98.0,64.0,26.0,2650.0,2267.0,383.0,2.0,0.0,2.0,0.0,0.0,215.0,37.0,21.0,12.0,4.0,190.0
MASSACHUSETTS,6993995.0,244872.0,68369.0,163314.0,13189.0,64299.0,16088.0,34877.0,13334.0,167.0,160.0,6.0,1.0,28.0,23.0,5.0,484.0,3391.0,1430.0,320.0,53.0,954.0,59.0,575.0,417.0,12.0,10233.0,2509.0,29667.0,332.0,527.0,51166.0,12397.0,3779.0,22508.0,3900.0,1011.0,7500.0,71.0,56932.0,550.0,223.0,10837.0,6864.0,13.0,11704.0,2314.0,24427.0,6792.0,2989.0,1738.0,114.0,8753.0,8582.0,171.0,59.0,4.0,54.0,1.0,0.0,888.0,155.0,131.0,23.0,1.0,3220.0
NEW HAMPSHIRE,1299709.0,49273.0,14789.0,27969.0,7454.0,12987.0,1071.0,8624.0,3292.0,23.0,11.0,12.0,0.0,7.0,4.0,3.0,252.0,1520.0,446.0,49.0,22.0,889.0,21.0,93.0,145.0,3.0,1245.0,687.0,7803.0,109.0,122.0,5441.0,2108.0,972.0,592.0,4.0,159.0,1535.0,71.0,12147.0,4.0,7.0,3139.0,2431.0,11.0,1983.0,662.0,3910.0,895.0,260.0,704.0,188.0,6041.0,5813.0,228.0,4.0,0.0,4.0,0.0,0.0,696.0,68.0,35.0,26.0,7.0,457.0
NEW YORK,668166.0,35006.0,8211.0,24482.0,2313.0,7717.0,1019.0,5526.0,1172.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,99.0,386.0,118.0,70.0,4.0,174.0,1.0,19.0,64.0,1.0,1824.0,522.0,5441.0,7.0,37.0,1866.0,104.0,15.0,270.0,5.0,0.0,1459.0,13.0,13162.0,23.0,24.0,3394.0,1218.0,21.0,1574.0,344.0,6564.0,833.0,302.0,423.0,0.0,1886.0,1624.0,262.0,0.0,0.0,0.0,0.0,0.0,46.0,25.0,24.0,1.0,0.0,356.0
PENNSYLVANIA,12504.0,156.0,22.0,98.0,36.0,22.0,1.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,22.0,0.0,0.0,21.0,14.0,3.0,0.0,0.0,1.0,3.0,0.0,40.0,0.0,0.0,22.0,2.0,0.0,3.0,0.0,13.0,3.0,0.0,1.0,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,26.0
RHODE ISLAND,1065374.0,37731.0,9114.0,25125.0,3492.0,8389.0,1666.0,6094.0,629.0,32.0,32.0,0.0,0.0,3.0,3.0,0.0,51.0,639.0,320.0,39.0,36.0,214.0,1.0,29.0,118.0,0.0,1793.0,527.0,6227.0,113.0,69.0,4034.0,2443.0,827.0,168.0,17.0,108.0,330.0,141.0,9998.0,15.0,31.0,1505.0,939.0,3.0,2640.0,759.0,4106.0,1485.0,337.0,424.0,34.0,2212.0,2209.0,3.0,7.0,1.0,5.0,1.0,0.0,409.0,12.0,9.0,3.0,0.0,818.0
VERMONT,362205.0,17845.0,3980.0,12470.0,1395.0,3561.0,797.0,2217.0,547.0,18.0,14.0,4.0,0.0,1.0,1.0,0.0,93.0,307.0,202.0,11.0,0.0,69.0,3.0,22.0,42.0,1.0,976.0,188.0,2868.0,60.0,11.0,1417.0,904.0,190.0,65.0,1.0,44.0,208.0,5.0,6440.0,15.0,22.0,1578.0,369.0,5.0,1463.0,167.0,2821.0,259.0,64.0,144.0,33.0,1179.0,1119.0,60.0,1.0,0.0,1.0,0.0,0.0,88.0,16.0,12.0,4.0,0.0,78.0
