index,RegionName,State,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,mean
112,North Las Vegas,NV,Clark County,113,,,,,,,1195.0,1195.0,1195.0,1149.0,1125.0,1150.0,1100.0,1120.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1100.0,1100.0,1100.0,1095.0,1075.0,1075.0,1075.0,1095.0,1100.0,1100.0,1095.0,1095.0,1095.0,1095.0,1088.5,1095.0,1065.0,1095.0,1095.0,1100.0,1100.0,1100.0,1095.0,1100.0,1100.0,1100.0,1102.0,1100.0,1100.0,1099.0,1100.0,1100.0,1147.5,1150.0,1150.0,1150.0,1150.0,1100.0,1100.0,1100.0,1100.0,1100.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1150.0,1175.0,1150.0,1177.0,1195.0,1200.0,1195.0,1195.0,1199.5,1200.0,1150.0,1200.0,1195.0,1150.0,1200.0,1195.0,1225.0,1225.0,1250.0,1295.0,1295.0,1275.0,1300.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1300.0,1300.0,1325.0,1345.0,1350.0,1350.0,1350.0,1395.0,1395.0,1395.0,1400.0,1425.0,1475.0,1450.0,1480.0,1490.0,1500.0,1522.5,1525.0,1495.0,1495.0,1495.0,1495.0,1197.6782608695653
133,Tacoma,WA,Pierce County,134,,,,,,,,,,,,,1200.0,1195.0,1197.5,1295.0,1200.0,1195.0,1150.0,1125.0,1150.0,1147.5,1137.5,1150.0,1150.0,1150.0,1150.0,1150.0,1112.5,1100.0,1150.0,1150.0,1150.0,1140.0,1100.0,1050.0,1050.0,1050.0,1050.0,1150.0,1200.0,1200.0,1200.0,1250.0,1200.0,1250.0,1250.0,1250.0,1200.0,1200.0,1200.0,1200.0,1250.0,1200.0,1200.0,1250.0,1250.0,1250.0,1295.0,1262.5,1250.0,1250.0,1295.0,1295.0,1326.0,1300.0,1295.0,1350.0,1340.0,1300.0,1376.0,1395.0,1300.0,1353.0,1395.0,1370.0,1400.0,1355.0,1450.0,1360.0,1495.0,1350.0,1400.0,1300.0,1430.0,1435.5,1450.0,1539.5,1550.0,1512.5,1600.0,1600.0,1550.0,1595.0,1595.0,1595.0,1595.0,1625.0,1650.0,1600.0,1675.0,1695.0,1750.0,1699.0,1697.0,1695.0,1675.0,1650.0,1695.0,1695.0,1700.0,1750.0,1695.0,1750.0,1800.0,1750.0,1750.0,1750.0,1725.0,1800.0,1360.596330275229
146,Eugene,OR,Lane County,147,,,,,,,,,,,,,1095.0,1097.5,1085.0,1150.0,1195.0,1150.0,1150.0,1147.5,1095.0,1050.0,1050.0,997.5,995.0,1050.0,1045.0,1075.0,1170.0,1100.0,1150.0,1095.0,1100.0,1095.0,1095.0,995.0,995.0,995.0,1095.0,1095.0,1150.0,1150.0,1095.0,1095.0,1100.0,1100.0,1095.0,1095.0,1100.0,1095.0,1095.0,1112.5,1200.0,1195.0,1200.0,1200.0,1195.0,1195.0,1195.0,1195.0,1150.0,1200.0,1200.0,1195.0,1200.0,1250.0,1200.0,1245.0,1200.0,1197.5,1195.0,1250.0,1270.0,1295.0,1295.0,1300.0,1350.0,1250.0,1262.5,1295.0,1250.0,1250.0,1295.0,1250.0,1395.0,1447.5,1445.0,1425.0,1400.0,1395.0,1460.0,1450.0,1495.0,1445.0,1395.0,1350.0,1495.0,1550.0,1500.0,1512.5,1525.0,1500.0,1500.0,1575.0,1497.5,1500.0,1472.5,1495.0,1650.0,1650.0,1595.0,1595.0,1595.0,1550.0,1600.0,1600.0,1595.0,1550.0,1550.0,1595.0,1262.4495412844035
147,Salt Lake City,UT,Salt Lake County,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095.0,1195.0,1292.5,1250.0,1225.0,1200.0,1250.0,1250.0,1250.0,1250.0,1200.0,1200.0,1295.0,1245.0,1300.0,1200.0,1200.0,1195.0,1200.0,1250.0,1295.0,1250.0,1290.0,1250.0,1250.0,1250.0,1250.0,1295.0,1299.0,1200.0,1297.5,1250.0,1250.0,1195.0,1325.0,1372.5,1337.5,1395.0,1397.5,1350.0,1295.0,1350.0,1362.5,1437.5,1462.5,1450.0,1560.0,1550.0,1495.0,1575.0,1527.5,1465.0,1500.0,1450.0,1495.0,1495.0,1550.0,1500.0,1500.0,1600.0,1500.0,1550.0,1575.0,1550.0,1500.0,1575.0,1592.5,1595.0,1500.0,1550.0,1582.5,1600.0,1600.0,1595.0,1510.0,1575.0,1550.0,1366.7884615384614
151,Fort Collins,CO,Larimer County,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.5,1112.5,1297.5,1272.5,1300.0,1375.0,1450.0,1395.0,1287.5,1295.0,1295.0,1300.0,1337.5,1195.0,1197.5,1250.0,1250.0,1200.0,1350.0,1395.0,1325.0,1395.0,1395.0,1395.0,1400.0,1400.0,1450.0,1450.0,1450.0,1500.0,1525.0,1525.0,1500.0,1550.0,1595.0,1600.0,1625.0,1595.0,1625.0,1650.0,1600.0,1600.0,1610.0,1635.0,1650.0,1650.0,1650.0,1650.0,1650.0,1695.0,1695.0,1650.0,1650.0,1600.0,1595.0,1600.0,1550.0,1600.0,1650.0,1695.0,1700.0,1700.0,1700.0,1695.0,1650.0,1650.0,1650.0,1650.0,1650.0,1650.0,1695.0,1750.0,1745.0,1750.0,1700.0,1725.0,1695.0,1695.0,1695.0,1700.0,1725.0,1750.0,1800.0,1800.0,1799.5,1795.0,1775.0,1750.0,1795.0,1795.0,1795.0,1750.0,1750.0,1547.3829787234042
159,Salem,OR,Marion County,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,1025.0,1025.0,1050.0,1000.0,995.0,1025.0,1100.0,1090.0,1070.0,1100.0,1095.0,1195.0,1145.0,1112.5,1125.0,1095.0,1150.0,1195.0,1250.0,1237.5,1295.0,1295.0,1212.5,1200.0,1195.0,1200.0,1195.0,1195.0,1295.0,1195.0,1197.5,1195.0,1375.0,1295.0,1350.0,1300.0,1200.0,1250.0,1322.5,1250.0,1395.0,1395.0,1395.0,1372.5,1395.0,1437.5,1495.0,1500.0,1450.0,1397.5,1450.0,1400.0,1400.0,1425.0,1425.0,1495.0,1495.0,1495.0,1472.5,1500.0,1512.5,1500.0,1500.0,1500.0,1500.0,1450.0,1450.0,1495.0,1425.0,1495.0,1500.0,1497.5,1495.0,1495.0,1288.2565789473683
162,Beaverton,OR,Washington County,163,,,,,,,,,,,,,,1112.5,1195.0,1222.5,1250.0,1250.0,1250.0,1250.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1350.0,1375.0,1350.0,1295.0,1300.0,1250.0,1222.5,1250.0,1250.0,1250.0,1250.0,1295.0,1350.0,1350.0,1300.0,1299.5,1385.0,1395.0,1445.0,1400.0,1395.0,1395.0,1400.0,1465.0,1450.0,1450.0,1495.0,1497.0,1495.0,1450.0,1495.0,1475.0,1450.0,1450.0,1495.0,1525.0,1595.0,1650.0,1637.0,1625.0,1650.0,1600.0,1595.0,1600.0,1600.0,1695.0,1650.0,1695.0,1650.0,1700.0,1750.0,1750.0,1692.5,1695.0,1645.0,1695.0,1695.0,1700.0,1747.5,1750.0,1800.0,1850.0,1800.0,1800.0,1822.5,1795.0,1795.0,1795.0,1795.0,1795.0,1795.0,1800.0,1850.0,1827.5,1850.0,1850.0,1850.0,1795.0,1795.0,1795.0,1800.0,1895.0,1900.0,1950.0,1950.0,1925.0,1925.0,1900.0,1895.0,1850.0,1897.5,1549.0416666666667
172,Tempe,AZ,Maricopa County,173,,,1197.5,1250.0,1362.5,1295.0,1195.0,1100.0,1050.0,1095.0,1095.0,1100.0,1082.5,1100.0,1195.0,1212.5,1212.5,1200.0,1185.0,1100.0,1197.5,1150.0,1095.0,1100.0,1150.0,1150.0,1150.0,1250.0,1200.0,1200.0,1250.0,1200.0,1195.0,1195.0,1150.0,1175.0,1195.0,1150.0,1195.0,1200.0,1250.0,1222.0,1250.0,1175.0,1200.0,1195.0,1200.0,1195.0,1195.0,1200.0,1200.0,1200.0,1225.0,1240.0,1207.5,1195.0,1195.0,1200.0,1245.0,1200.0,1250.0,1250.0,1350.0,1375.0,1325.0,1300.0,1350.0,1340.0,1300.0,1299.5,1300.0,1300.0,1350.0,1350.0,1350.0,1400.0,1400.0,1350.0,1350.0,1295.0,1300.0,1277.0,1295.0,1250.0,1350.0,1366.5,1450.0,1475.0,1499.5,1500.0,1495.0,1450.0,1400.0,1400.0,1400.0,1400.0,1400.0,1425.0,1539.0,1600.0,1579.0,1645.0,1650.0,1600.0,1550.0,1550.0,1550.0,1560.0,1595.0,1550.0,1750.0,1800.0,1797.0,1750.0,1742.0,1695.0,1600.0,1600.0,1679.0,1699.0,1317.1008403361343
186,Peoria,AZ,Maricopa County,187,,1300.0,1300.0,1395.0,1350.0,1275.0,1350.0,1312.5,1295.0,1200.0,1200.0,1200.0,1195.0,1195.0,1200.0,1200.0,1250.0,1200.0,1230.0,1225.0,1200.0,1195.0,1195.0,1175.0,1195.0,1150.0,1150.0,1195.0,1195.0,1200.0,1200.0,1200.0,1195.0,1187.0,1150.0,1150.0,1150.0,1162.5,1189.0,1195.0,1200.0,1200.0,1195.0,1150.0,1180.0,1195.0,1200.0,1199.0,1195.0,1200.0,1200.0,1200.0,1225.0,1250.0,1247.5,1250.0,1250.0,1250.0,1250.0,1275.0,1250.0,1275.0,1275.0,1295.0,1300.0,1350.0,1325.0,1300.0,1275.0,1250.0,1299.5,1300.0,1350.0,1350.0,1337.0,1350.0,1350.0,1300.0,1390.0,1300.0,1300.0,1350.0,1300.0,1295.0,1300.0,1350.0,1350.0,1450.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1450.0,1449.0,1465.0,1500.0,1495.0,1495.0,1495.0,1490.0,1450.0,1475.0,1450.0,1450.0,1495.0,1500.0,1550.0,1550.0,1595.0,1600.0,1590.0,1595.0,1595.0,1575.0,1545.0,1575.0,1550.0,1305.7916666666667
197,Pueblo,CO,Pueblo County,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.5,1000.0,950.0,825.0,875.0,912.5,862.5,850.0,950.0,1000.0,1000.0,1095.0,1000.0,1000.0,1000.0,950.0,950.0,935.0,900.0,975.0,975.0,1000.0,995.0,975.0,1000.0,1050.0,1000.0,1000.0,1100.0,995.0,982.5,995.0,1000.0,1000.0,1012.5,1100.0,1050.0,1100.0,1100.0,1000.0,1050.0,1050.0,970.2441860465116
