index,state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
3256,MONTANA,Nonmetropolitan Counties,Beaverhead,,7.0,5.0,2.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3257,MONTANA,Nonmetropolitan Counties,Big Horn,,593.0,209.0,343.0,41.0,190.0,59.0,80.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,7.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,34.0,3.0,113.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,135.0,1.0,1.0,17.0,9.0,1.0,24.0,2.0,80.0,48.0,5.0,0.0,2.0,36.0,19.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
3258,MONTANA,Nonmetropolitan Counties,Blaine,,48.0,19.0,19.0,10.0,16.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,9.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3259,MONTANA,Nonmetropolitan Counties,Broadwater,,193.0,71.0,83.0,39.0,64.0,22.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,3.0,34.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,3.0,2.0,0.0,6.0,3.0,15.0,3.0,0.0,2.0,0.0,38.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3260,MONTANA,Nonmetropolitan Counties,Butte-Silver Bow3,,,376.0,,209.0,347.0,122.0,195.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,9.0,1.0,0.0,13.0,0.0,2.0,5.0,0.0,,62.0,445.0,6.0,0.0,126.0,38.0,40.0,0.0,0.0,0.0,48.0,0.0,1142.0,0.0,1.0,396.0,34.0,2.0,279.0,41.0,389.0,198.0,11.0,41.0,0.0,202.0,100.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0
3261,MONTANA,Nonmetropolitan Counties,Carter,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3262,MONTANA,Nonmetropolitan Counties,Chouteau,,19.0,10.0,8.0,1.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3263,MONTANA,Nonmetropolitan Counties,Custer,,31.0,16.0,13.0,2.0,13.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3264,MONTANA,Nonmetropolitan Counties,Dawson,,98.0,23.0,63.0,12.0,20.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,36.0,0.0,0.0,6.0,2.0,0.0,4.0,2.0,22.0,2.0,0.0,0.0,1.0,11.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3265,MONTANA,Nonmetropolitan Counties,Deer Lodge,,543.0,149.0,292.0,102.0,143.0,17.0,102.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,49.0,1.0,73.0,1.0,0.0,17.0,7.0,2.0,0.0,0.0,0.0,8.0,0.0,127.0,0.0,0.0,14.0,21.0,0.0,18.0,5.0,69.0,18.0,0.0,3.0,0.0,100.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
