state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
ARIZONA,Cities,Apache Junction,43385,2169,449,1123,597,398,71,259,68,4,2,2,0,0,0,0,12,35,8,0,2,24,0,1,6,0,125,28,155,2,1,121,53,27,41,0,0,0,0,563,0,0,132,50,4,143,21,213,88,10,24,9,527,289,238,0,0,0,0,0,6,0,0,0,0,55
,,Casa Grande,59822,3841,1108,1712,1021,980,284,567,129,1,1,0,0,0,0,0,28,99,20,3,0,59,0,17,14,1,156,36,205,4,5,159,102,34,0,0,0,23,0,973,2,2,415,54,0,214,24,262,110,38,11,3,880,411,469,0,0,0,0,0,25,1,0,1,0,112
,,Coolidge,13277,1316,202,529,585,187,73,107,7,0,0,0,0,0,0,0,4,11,4,0,0,5,0,2,5,0,38,8,130,0,0,18,8,6,4,0,0,0,0,300,0,0,175,0,0,13,3,109,20,5,5,0,545,266,279,0,0,0,0,0,0,0,0,0,0,40
,,Eagar,4944,91,25,34,32,21,9,8,4,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0,7,1,3,0,0,1,0,0,0,0,0,1,0,19,0,0,2,1,0,6,1,9,3,0,0,0,31,17,14,0,0,0,0,0,0,0,0,0,0,1
,,Gilbert,259629,11263,2176,6048,3039,1987,195,1356,436,4,4,0,0,0,0,0,37,148,46,1,0,79,0,22,10,0,363,95,2027,22,27,925,301,158,12,0,0,448,6,2305,2,5,651,53,0,579,59,956,155,40,79,31,2800,1190,1610,0,0,0,0,0,75,3,1,2,0,130
,,Huachuca City,1723,30,2,19,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,2,0,1,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,1
,,Lake Havasu City,56243,2656,794,1177,685,720,75,600,45,0,0,0,0,0,0,0,2,72,26,1,0,28,4,13,7,0,103,27,77,1,2,273,143,59,8,0,0,61,2,627,0,2,133,2,3,123,13,351,53,3,4,26,614,331,283,0,0,0,0,0,13,0,0,0,0,32
,,Mesa,527361,27198,6604,14513,6081,5941,1345,3833,763,28,19,3,6,4,4,0,146,485,151,48,41,210,1,34,22,0,1608,204,1147,74,39,2439,786,687,27,4,111,812,12,7440,11,12,2171,756,18,2120,653,1699,1037,383,120,54,5555,2448,3107,0,0,0,0,0,35,34,13,6,15,403
,,Oro Valley,46634,1671,137,979,555,130,16,102,12,1,0,0,1,1,1,0,0,5,3,0,0,2,0,0,1,0,40,4,186,2,0,215,73,37,14,0,4,69,18,502,0,0,196,45,0,128,13,120,18,8,3,2,539,242,297,0,0,0,0,0,0,0,0,0,0,14
,,Parker,3224,214,19,157,38,15,6,7,2,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,2,0,23,3,58,0,0,13,7,4,0,0,0,2,0,45,0,0,5,2,0,8,0,30,11,1,1,0,35,25,10,0,0,0,0,0,1,0,0,0,0,2
,,Payson,15869,1367,276,610,481,272,99,138,35,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,4,0,76,0,194,0,0,25,0,13,12,0,0,0,0,278,0,0,67,0,0,0,0,211,23,2,8,0,447,202,245,0,0,0,0,0,2,1,1,0,0,31
,,San Luis,35574,947,109,469,369,101,21,70,10,0,0,0,0,0,0,0,1,7,2,0,0,4,0,1,0,0,37,9,107,0,2,21,16,2,3,0,0,0,0,204,0,0,78,0,0,18,3,105,86,2,1,0,360,177,183,0,0,0,0,0,1,0,0,0,0,8
,,Somerton,16811,418,128,235,55,121,29,72,20,2,1,1,0,0,0,0,0,5,2,0,0,1,0,2,0,0,30,9,80,0,1,18,14,3,1,0,0,0,0,71,0,0,19,0,0,4,1,47,22,3,1,0,41,23,18,0,0,0,0,0,3,0,0,0,0,11
,,Surprise,144620,4806,1199,2638,969,1113,145,765,203,2,2,0,0,0,0,0,16,68,21,8,7,27,0,5,14,0,172,29,121,3,24,378,168,70,13,0,31,95,1,1694,0,6,529,10,0,457,84,608,165,30,8,6,891,392,499,0,0,0,0,0,3,0,0,0,0,69
,,Wellton,3062,105,20,66,19,20,3,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,22,0,0,8,4,2,0,0,0,2,0,25,0,0,0,2,0,1,0,22,0,0,0,2,13,7,6,0,0,0,0,0,1,0,0,0,0,3
,,Yuma,99096,6591,1142,4070,1379,981,411,479,91,11,11,0,0,0,0,0,33,117,38,1,0,59,0,19,25,0,336,39,1159,0,9,426,234,58,134,0,0,0,0,1822,0,0,543,0,0,214,16,1049,202,43,9,0,1156,564,592,0,0,0,0,0,57,0,0,0,0,166
,Universities and Colleges,Arizona Western College,11521,9,2,7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Central Arizona College,8518,20,2,13,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,2,0,0,0,0,1,0,7,0,0,0,1,1,2,0,3,1,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0
,Metropolitan Counties,Pima,,16152,3255,10952,1945,3055,705,2117,233,25,23,1,1,0,0,0,6,169,53,5,1,109,1,0,64,0,1027,61,2122,38,0,1455,380,352,114,14,52,429,114,5534,6,12,2465,266,17,1167,87,1514,494,146,11,42,1791,911,880,0,0,0,0,0,0,0,0,0,0,112
,,Yuma,,2942,776,1855,311,697,117,492,88,8,8,0,0,0,0,0,13,58,20,9,0,21,0,8,11,0,246,14,578,0,3,257,194,17,1,0,0,45,0,605,0,0,39,45,0,67,5,449,116,6,19,7,237,114,123,0,0,0,0,0,10,0,0,0,0,57
,Other,Tucson Airport Authority,,127,9,73,45,9,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,1,0,22,22,0,0,0,0,0,0,26,0,0,2,8,1,2,2,11,6,0,0,0,36,26,10,0,0,0,0,0,0,0,0,0,0,9
ARKANSAS,Cities,Alexander,3524,393,103,193,97,94,33,28,33,1,1,0,0,0,0,0,1,7,2,5,0,0,0,0,3,0,39,3,46,0,1,37,33,4,0,0,0,0,0,54,0,0,0,0,0,0,0,54,6,0,4,0,87,49,38,0,0,0,0,0,2,1,1,0,0,7
,,Alma,5904,487,171,267,49,158,11,76,71,0,0,0,0,0,0,0,2,11,4,5,0,2,0,0,1,0,30,14,67,0,0,23,1,6,16,0,0,0,0,121,1,2,9,23,2,14,0,70,3,0,8,0,44,24,20,0,0,0,0,0,2,0,0,0,0,3
,,Altus,726,19,9,10,0,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Amity,681,11,3,8,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Arkadelphia,10732,631,193,378,60,191,43,91,57,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,37,20,95,0,0,18,1,17,0,0,0,0,0,187,3,0,39,13,0,11,1,120,7,4,9,0,50,34,16,0,0,0,0,0,0,0,0,0,0,10
,,Ash Flat,1099,141,23,84,34,22,1,9,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9,3,6,0,0,16,10,1,5,0,0,0,0,46,0,1,2,11,0,3,0,29,0,0,4,0,34,20,14,0,0,0,0,0,0,0,0,0,0,0
,,Ashdown,4367,382,43,170,169,40,5,35,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,6,39,0,0,12,1,1,4,0,1,5,0,77,0,0,19,0,0,1,0,57,12,1,1,0,164,116,48,0,0,0,0,0,1,0,0,0,0,4
,,Atkins,3040,173,24,106,43,20,3,16,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,1,0,18,5,15,0,0,7,3,1,3,0,0,0,0,53,0,1,9,1,0,5,0,37,2,0,5,0,39,21,18,0,0,0,0,0,0,0,0,0,0,4
,,Augusta,1917,65,15,48,2,12,3,4,5,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,0,7,0,16,0,0,15,0,0,14,1,0,0,0,7,0,0,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,,Austin,4401,177,41,106,30,36,7,15,14,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,36,0,8,0,0,35,32,3,0,0,0,0,0,22,0,0,1,0,0,4,0,17,4,0,1,0,29,14,15,0,0,0,0,0,0,0,0,0,0,1
,,Bald Knob,2864,329,101,146,82,97,10,58,29,1,1,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,30,4,31,0,0,7,0,6,1,0,0,0,0,67,0,0,1,3,0,3,1,59,4,0,2,0,76,37,39,0,0,0,0,0,0,0,0,0,0,6
,,Barling,5076,299,71,105,123,66,21,23,22,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0,0,15,4,18,0,0,5,3,2,0,0,0,0,0,54,0,0,5,7,0,9,2,31,4,0,5,0,119,57,62,0,0,0,0,0,1,0,0,0,0,3
,,Batesville,10938,604,108,376,120,90,18,40,32,2,2,0,0,0,0,0,1,15,9,6,0,0,0,0,0,0,32,21,48,0,0,28,8,18,2,0,0,0,0,213,2,1,69,15,0,29,4,93,23,1,10,0,112,76,36,0,0,0,0,0,0,0,0,0,0,8
,,Bay,1823,81,15,37,29,12,6,1,5,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,4,1,3,0,0,16,15,1,0,0,0,0,0,10,0,0,1,0,0,4,0,5,1,0,2,0,26,18,8,0,0,0,0,0,0,0,0,0,0,3
,,Beebe,8268,682,96,378,208,87,20,50,17,0,0,0,0,0,0,0,1,8,3,5,0,0,0,0,1,0,37,6,49,0,0,123,107,16,0,0,0,0,0,139,0,0,13,13,0,33,4,76,17,1,5,0,189,103,86,0,0,0,0,0,1,0,0,0,0,18
,,Bella Vista,29138,1194,149,534,511,134,39,48,47,0,0,0,0,0,0,0,1,14,8,6,0,0,0,0,0,0,26,11,74,0,0,252,237,14,1,0,0,0,0,146,0,0,2,9,0,35,1,99,4,2,19,0,487,240,247,0,0,0,0,0,3,0,0,0,0,21
,,Benton,37542,3200,880,1979,341,819,175,259,385,2,0,2,0,0,0,0,16,43,19,0,0,22,1,1,5,0,186,77,377,0,2,159,71,81,6,0,1,0,0,992,2,2,145,34,6,289,49,465,115,21,45,0,306,167,139,0,0,0,0,0,5,0,0,0,0,30
,,Bentonville,57575,3325,564,2062,699,500,154,236,110,0,0,0,0,0,0,0,11,53,17,3,3,30,0,0,1,0,96,46,249,2,15,763,58,83,622,0,0,0,0,760,0,0,99,0,3,280,3,375,58,6,66,0,666,333,333,0,0,0,0,0,10,1,1,0,0,22
,,Berryville,5577,391,65,247,79,62,8,49,5,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,24,7,21,0,0,56,3,8,45,0,0,0,0,125,0,0,25,1,0,0,0,99,11,3,0,0,76,40,36,0,0,0,0,0,0,0,0,0,0,3
,,Blytheville,13239,1679,586,986,107,539,110,228,201,20,18,2,0,0,0,0,5,22,10,0,0,8,0,4,1,0,83,32,221,0,0,6,3,3,0,0,0,0,0,600,0,0,148,20,4,61,21,346,20,21,2,0,88,85,3,0,0,0,0,0,2,1,1,0,0,16
,,Bono,2517,85,27,26,32,24,2,5,17,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,1,0,1,2,3,0,0,1,1,0,0,0,0,0,0,15,0,0,0,1,0,5,0,9,3,0,0,0,32,23,9,0,0,0,0,0,0,0,0,0,0,0
,,Booneville,3765,260,70,106,84,68,12,47,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,17,3,19,0,0,6,0,6,0,0,0,0,0,54,0,1,1,2,0,3,1,46,5,0,2,0,75,43,32,0,0,0,0,0,2,0,0,0,0,7
,,Bradford,734,39,19,11,9,17,3,12,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,1,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,1
,,Brinkley,2531,285,97,152,36,95,18,51,26,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,6,40,0,0,9,0,7,2,0,0,0,0,56,0,0,4,0,0,6,1,45,14,2,2,0,31,20,11,0,0,0,0,0,0,1,0,1,0,4
,,Bryant,21497,1667,214,1195,258,202,26,115,61,0,0,0,0,0,0,0,1,11,8,1,0,2,0,0,0,0,51,29,164,0,0,152,33,71,43,0,5,0,0,753,0,0,190,11,0,210,13,329,36,4,6,0,245,141,104,0,0,0,0,0,1,0,0,0,0,12
,,Bull Shoals,1945,67,19,39,9,17,4,7,6,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,0,12,0,0,1,1,0,0,0,0,0,0,18,0,0,0,4,0,1,2,11,0,1,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,1
,,Cabot,26593,1390,481,725,184,449,64,201,184,0,0,0,0,0,0,0,3,29,18,11,0,0,0,0,1,0,72,51,194,0,0,75,1,51,23,0,0,0,0,260,0,1,7,14,0,69,10,159,42,10,20,0,165,104,61,0,0,0,0,0,8,0,0,0,0,11
,,Caddo Valley,637,114,32,52,30,30,2,19,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,4,11,0,0,1,0,0,1,0,0,0,0,24,0,2,0,2,0,3,1,16,4,0,1,0,25,18,7,0,0,0,0,0,2,0,0,0,0,3
,,Camden,10605,1150,425,636,89,413,100,187,126,1,1,0,0,0,0,0,2,9,5,0,0,1,1,2,2,0,82,16,181,0,0,105,86,15,2,1,1,0,0,219,2,2,46,16,0,21,14,118,20,8,3,0,85,56,29,0,0,0,0,0,0,0,0,0,0,4
,,Cammack Village,713,44,5,35,4,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,1,0,0,0,0,0,20,0,0,0,1,0,14,0,5,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1
,,Caraway,1283,25,3,22,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,5,4,1,0,0,0,0,0,8,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Carlisle,2149,195,41,140,14,39,1,13,25,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,15,2,24,0,0,40,2,8,26,0,4,0,0,50,0,0,1,5,0,6,2,36,5,0,4,0,13,10,3,0,0,0,0,0,0,0,0,0,0,1
,,Charleston,2462,123,56,56,11,55,2,46,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,1,19,0,0,1,0,1,0,0,0,0,0,23,0,0,0,0,0,4,0,19,2,0,2,0,8,5,3,0,0,0,0,0,0,0,0,0,0,3
,,Cherokee Village,4657,270,27,145,98,21,7,14,0,2,2,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,38,0,29,0,0,8,2,5,0,0,0,1,0,58,0,0,1,0,0,0,0,57,9,0,1,0,90,51,39,0,0,0,0,0,1,0,0,0,0,7
,,Cherry Valley,576,43,5,13,25,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,9,1,0,0,0,23,11,12,0,0,0,0,0,0,0,0,0,0,2
,,Clarendon,1330,163,39,81,43,36,5,25,6,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,26,0,23,0,0,4,1,2,1,0,0,0,0,25,0,1,0,9,0,5,0,10,2,0,1,0,39,31,8,0,0,0,0,0,0,0,0,0,0,4
,,Clarksville,9829,735,162,381,192,148,19,97,32,1,1,0,0,0,0,0,2,11,7,4,0,0,0,0,0,0,25,23,82,0,0,16,1,4,8,1,2,0,0,203,0,0,15,12,2,17,7,150,24,2,6,0,174,99,75,0,0,0,0,0,3,0,0,0,0,15
,,Clinton,2505,194,42,108,44,41,4,25,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,5,0,0,54,53,0,1,0,0,0,0,37,0,0,0,0,0,3,0,34,2,0,0,0,40,28,12,0,0,0,0,0,0,0,0,0,0,4
,,Conway,68599,7254,1598,4368,1288,1529,287,567,675,3,3,0,0,0,0,0,15,51,41,4,0,2,1,3,7,0,163,143,874,0,3,1142,986,153,2,1,0,0,0,1697,0,0,270,0,5,360,80,982,130,30,179,0,1211,674,537,1,0,1,0,0,4,0,0,0,0,72
,,Corning,3018,135,22,62,51,20,5,8,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,0,5,0,0,6,2,4,0,0,0,0,0,28,0,0,4,5,1,4,3,11,9,0,5,0,45,26,19,0,0,0,0,0,1,0,0,0,0,5
,,Cotter,949,73,12,34,27,12,2,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,4,3,1,0,0,0,0,0,16,0,0,0,3,0,0,1,12,2,0,0,0,24,11,13,0,0,0,0,0,0,0,0,0,0,3
,,Crossett,4723,433,93,302,38,88,28,56,4,1,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,47,3,71,0,0,70,58,11,1,0,0,0,0,99,0,0,11,1,0,1,0,86,10,1,1,0,33,22,11,0,0,0,0,0,0,0,0,0,0,5
,,Damascus,382,16,7,8,1,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
,,Danville,2391,100,31,44,25,24,5,12,7,0,0,0,0,0,0,0,4,3,1,0,0,2,0,0,0,0,11,1,7,0,0,10,1,2,7,0,0,0,0,12,0,0,0,0,0,0,0,12,0,1,2,0,24,17,7,0,0,0,0,0,0,0,0,0,0,1
,,Dardanelle,4520,307,87,159,61,78,23,43,12,0,0,0,0,0,0,0,4,5,2,3,0,0,0,0,0,0,29,4,48,0,0,22,16,5,1,0,0,0,0,49,0,0,3,1,1,7,0,37,1,3,3,0,53,32,21,0,0,0,0,0,1,0,0,0,0,7
,,Decatur,1801,193,50,73,70,46,13,16,17,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,6,2,16,0,0,7,0,1,6,0,0,0,0,35,0,0,1,0,1,6,0,27,5,1,1,0,63,36,27,0,0,0,0,0,0,0,0,0,0,7
,,De Queen,6526,523,103,343,77,94,19,33,42,0,0,0,0,0,0,0,2,7,4,0,0,3,0,0,0,0,61,21,56,0,0,73,0,72,1,0,0,0,0,113,0,0,3,10,0,3,1,96,11,3,5,0,72,44,28,0,0,0,0,0,3,1,1,0,0,1
,,Des Arc,1568,84,22,45,17,20,9,8,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,11,0,0,18,16,2,0,0,0,0,0,10,0,0,0,2,0,0,0,8,1,0,2,0,16,11,5,0,0,0,0,0,0,0,0,0,0,1
,,DeWitt,2976,253,63,116,74,60,17,40,3,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,2,0,16,4,33,0,0,0,0,0,0,0,0,0,0,57,0,0,5,9,0,7,2,34,2,0,2,0,71,41,30,0,0,0,0,0,0,0,0,0,0,3
,,Diamond City,802,27,5,6,16,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,10,0,0,0,0,0,0,0,0,0,0,0
,,Diaz,1196,35,17,16,2,16,4,10,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,4,0,0,6,5,1,0,0,0,0,0,3,0,0,0,1,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,,Dover,1446,99,18,47,34,17,6,5,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,2,10,0,0,4,1,2,1,0,0,0,0,20,0,0,2,0,0,8,0,10,4,0,0,0,31,16,15,0,0,0,0,0,0,0,0,0,0,3
,,Dumas,3984,92,33,48,11,27,24,1,2,0,0,0,0,0,0,0,1,5,1,2,0,2,0,0,0,0,13,2,5,0,0,3,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,18,0,5,2,0,8,4,4,0,0,0,0,0,1,0,0,0,0,2
,,Earle,2156,179,38,83,58,35,15,5,15,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,12,3,27,0,0,5,3,0,2,0,0,0,0,35,1,0,0,0,0,2,0,32,0,0,0,0,46,24,22,0,0,0,0,0,0,0,0,0,0,12
,,El Dorado,17523,2022,556,1299,167,523,195,191,137,8,8,0,0,0,0,0,7,18,3,0,11,4,0,0,7,0,358,32,220,0,0,197,168,27,0,2,0,0,0,399,0,0,95,0,0,17,1,286,51,24,11,0,139,117,22,0,0,0,0,0,0,0,0,0,0,28
,,Etowah,313,20,4,14,2,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0,0,0,0,5,0,0,0,2,0,0,0,3,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,,Eudora,1866,105,29,70,6,28,4,17,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,2,26,0,0,11,11,0,0,0,0,0,0,17,0,0,1,1,0,5,0,10,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,1
,,Eureka Springs,2110,203,46,128,29,43,10,21,12,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,19,3,32,0,0,8,0,5,3,0,0,0,0,58,0,1,2,12,0,6,0,37,8,0,0,0,29,16,13,0,0,0,0,0,0,0,0,0,0,0
,,Fairfield Bay,2173,129,49,61,19,48,12,20,16,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13,1,9,0,0,8,5,2,0,1,0,0,0,26,0,1,0,2,0,0,0,23,3,0,1,0,17,10,7,0,0,0,0,0,0,0,0,0,0,2
,,Farmington,7575,373,72,138,163,61,10,36,15,0,0,0,0,0,0,0,2,9,3,4,0,2,0,0,0,0,18,7,27,0,0,7,2,4,1,0,0,0,0,43,0,0,5,2,0,12,0,24,13,1,22,0,156,82,74,0,0,0,0,0,0,0,0,0,0,7
,,Fayetteville,89252,10648,1891,7998,759,1764,390,956,418,6,6,0,0,1,0,1,54,66,65,1,0,0,0,0,15,0,422,167,1223,0,0,1679,52,508,1116,0,0,3,0,3723,0,0,396,463,3,1596,250,1015,533,56,180,1,685,373,312,0,0,0,0,0,10,3,0,2,1,60
,,Flippin,1319,135,33,59,43,28,1,23,4,1,1,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,7,1,10,0,0,0,0,0,0,0,0,0,0,38,0,0,1,2,0,1,1,33,2,0,1,0,40,20,20,0,0,0,0,0,0,0,0,0,0,3
,,Fordyce,3646,410,152,228,30,147,53,57,37,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,26,12,50,0,0,13,3,7,3,0,0,0,0,113,0,0,12,10,0,12,3,76,8,3,3,0,18,15,3,0,0,0,0,0,1,0,0,0,0,11
,,Forrest City,13656,2084,778,1146,160,751,197,321,233,4,4,0,0,0,0,0,3,20,11,1,1,5,0,2,9,0,83,26,369,0,2,131,10,17,99,3,0,2,0,453,5,2,93,37,2,107,22,185,62,9,2,0,130,95,35,0,0,0,0,0,0,0,0,0,0,30
,,Fort Smith,88071,12302,3147,7998,1157,2946,828,984,1134,7,7,0,0,0,0,0,37,157,78,18,0,59,1,1,17,0,658,205,1270,0,4,1220,909,267,42,2,0,0,0,3908,1,0,356,272,16,681,130,2452,524,107,85,0,993,541,452,0,0,0,0,0,8,2,2,0,0,154
,,Gassville,2168,110,19,75,16,19,4,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,15,0,2,12,1,0,0,0,43,0,0,3,8,0,4,2,26,1,0,1,0,16,10,6,0,0,0,0,0,0,0,0,0,0,0
,,Gentry,4086,173,51,62,60,44,14,15,15,0,0,0,0,0,0,0,4,3,1,2,0,0,0,0,0,0,1,0,22,0,0,11,10,0,1,0,0,0,0,16,1,0,0,0,1,5,0,9,6,0,6,0,56,33,23,0,0,0,0,0,0,0,0,0,0,4
,,Gillett,680,24,3,12,9,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,3,0,0,3,3,0,0,0,0,0,0,4,0,0,1,0,0,0,0,3,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,1
,,Gravette,3558,290,58,86,146,53,20,15,18,0,0,0,0,0,0,0,2,3,2,1,0,0,0,0,0,0,9,3,24,0,0,5,0,5,0,0,0,0,0,37,0,1,10,3,0,4,0,19,6,0,2,0,137,66,71,0,0,0,0,0,0,0,0,0,0,9
,,Greenbrier,5779,63,12,22,29,11,0,8,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,0,0,0,0,13,0,0,2,0,0,2,0,9,2,0,3,0,27,17,10,0,0,0,0,0,0,0,0,0,0,2
,,Green Forest,2760,305,90,91,124,72,24,28,20,1,1,0,0,0,0,0,3,14,9,5,0,0,0,0,0,0,8,8,35,0,0,5,2,3,0,0,0,0,0,28,0,1,5,1,0,0,0,21,3,1,3,0,113,27,86,0,0,0,0,0,1,0,0,0,0,10
,,Greenland,1416,58,11,32,15,9,1,3,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,17,16,0,1,0,0,0,0,11,0,0,0,0,0,1,2,8,1,0,1,0,15,10,5,0,0,0,0,0,0,0,0,0,0,0
,,Greenwood,9449,349,80,175,94,76,15,38,23,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,9,4,21,0,0,115,115,0,0,0,0,0,0,22,0,0,2,2,0,1,0,17,2,1,1,0,90,55,35,0,0,0,0,0,0,0,0,0,0,4
