state,agency_type,agency_name,population_1,total_offenses,crimes_against_persons,crimes_against_property,crimes_against_society,assault_offenses,aggravated_assault,simple_assault,intimidation,homicide_offenses,murder_and_nonnegligent_manslaughter,negligent_man_slaughter,justifiable_homicide,human_trafficking_offenses,commercial_sex_acts,involuntary_servitude,kidnapping_abduction,sex_offenses,rape,sodomy,sexual_assault_with_an_object,fondling,incest,statutory_rape,arson,bribery,burglary_breaking_&_entering,counter_feiting_forgery,destruction_damage_vandalism_of_property,embezzle_ment,extortion_blackmail,fraud_offenses,false_pretenses_swindle_confidence_game,credit_card_automated_teller_machine_fraud,imper_sonation,welfare_fraud,wire_fraud,identity_theft,hacking_computer_invasion,larceny_theft_offenses,pocket_picking,purse_snatching,shop_lifting,theft_from_building,theft_from_coin_op_erated_machine_or_device,theft_from_motor_vehicle,theft_of_motor_vehicle_parts_or_acces_sories,all_other_larceny,motor_vehicle_theft,robbery,stolen_property_offenses,animal_cruelty,drug_narcotic_offenses,drug_narcotic_violations,drug_equipment_violations,gambling_offenses,betting_wagering,operating_promoting_assisting_gambling,gambling_equipment_violations,sports_tampering,por_nography_obscene_material,pros_titution_offenses,pros_titution,assisting_or_promoting_prostitution,purchasing_prostitution,weapon_law_violations
,,Middlesex,826,31,5,25,1,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,3,2,0,0,0,1,0,0,16,0,0,1,1,0,3,0,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,,Mint Hill,28209,983,250,600,133,237,46,153,38,0,0,0,0,0,0,0,4,9,4,1,2,1,0,1,1,0,77,17,101,4,1,85,28,25,1,1,8,21,1,277,0,0,17,3,1,105,14,137,19,7,11,0,93,60,33,0,0,0,0,0,0,0,0,0,0,40
,,Monroe,35836,4943,1061,2823,1059,999,276,584,139,3,2,1,0,0,0,0,8,51,11,19,0,20,1,0,7,0,271,45,623,13,3,215,214,1,0,0,0,0,0,1383,0,0,271,0,3,484,6,619,133,57,73,0,926,617,309,0,0,0,0,0,2,0,0,0,0,131
,,Mooresville,39692,2981,831,1449,701,798,57,584,157,0,0,0,0,0,0,0,1,32,9,1,0,18,2,2,6,1,81,67,41,9,2,316,151,86,2,0,12,58,7,838,3,4,250,29,0,185,47,320,64,14,10,2,624,352,272,0,0,0,0,0,12,1,1,0,0,62
,,Morehead City,9729,1002,257,581,164,232,30,157,45,0,0,0,0,1,0,1,9,15,3,5,4,3,0,0,1,0,40,27,99,11,0,72,43,23,2,0,1,3,0,309,0,0,182,21,0,33,10,63,14,2,6,8,139,94,45,0,0,0,0,0,2,1,1,0,0,14
,,Morrisville,30264,1055,100,875,80,97,10,60,27,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,1,0,57,2,63,15,3,123,73,33,7,0,4,6,0,552,1,0,245,25,0,214,25,42,43,13,3,0,75,49,26,0,0,0,0,0,0,0,0,0,0,5
,,Mount Olive,4573,219,45,162,12,45,10,29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,33,2,0,16,6,7,2,0,1,0,0,69,0,0,1,39,0,13,0,16,12,2,1,0,11,9,2,0,0,0,0,0,0,0,0,0,0,1
,,Murfreesboro,2978,161,14,93,54,13,4,9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,15,2,12,1,0,8,3,5,0,0,0,0,0,47,0,0,6,4,0,8,3,26,6,1,1,0,52,29,23,0,0,0,0,0,0,0,0,0,0,2
,,Nags Head,2999,303,77,166,60,72,4,55,13,0,0,0,0,0,0,0,1,4,0,0,0,4,0,0,1,0,15,1,34,0,1,18,11,6,1,0,0,0,0,92,0,0,4,1,0,6,0,81,2,0,2,0,52,33,19,0,0,0,0,0,2,0,0,0,0,6
,,New Bern,30047,3073,799,1626,648,755,154,438,163,5,4,1,0,0,0,0,4,35,11,0,0,21,0,3,1,0,203,14,335,0,3,204,138,42,22,1,1,0,0,789,4,0,37,6,1,116,13,612,30,21,26,5,613,381,232,1,0,0,1,0,4,0,0,0,0,25
